ts_from,ts_to,deauth_count,probe_count,beacon_count,eviltwin_max_distinct_bssids,top_sender_deauth,top_sender_probe,top_sender_beacon,top_bssid_deauth_count,top_bssid_deauth_mac,deauth_reason_top,deauth_reason_distinct,top_channel,top_channel_beacon_count,top_channel_deauth_count
1763898546.7569942,1763898547.7569942,0,0,4,0,0,0,3,0,,,0,10,4,0
1763898547.7569942,1763898548.7569942,0,0,7,0,0,0,5,0,,,0,10,7,0
1763898548.7569942,1763898549.7569942,0,0,8,0,0,0,5,0,,,0,10,8,0
1763898549.7569942,1763898550.7569942,0,0,8,0,0,0,5,0,,,0,10,8,0
1763898550.7569942,1763898551.7569942,0,0,9,0,0,0,5,0,,,0,10,6,0
1763898551.7569942,1763898552.7569942,0,0,9,0,0,0,5,0,,,0,10,6,0
1763898552.7569942,1763898553.7569942,0,0,9,0,0,0,5,0,,,0,10,4,0
1763898553.7569942,1763898554.7569942,0,0,9,0,0,0,5,0,,,0,10,4,0
1763898554.7569942,1763898555.7569942,0,0,5,0,0,0,4,0,,,0,10,4,0
1763898555.7569942,1763898556.7569942,0,0,5,0,0,0,4,0,,,0,10,4,0
1763898556.7569942,1763898557.7569942,0,0,2,0,0,0,1,0,,,0,10,2,0
1763898557.7569942,1763898558.7569942,0,0,2,0,0,0,1,0,,,0,10,2,0
1763898558.7569942,1763898559.7569942,0,0,2,0,0,0,1,0,,,0,10,2,0
1763898559.7569942,1763898560.7569942,0,0,2,0,0,0,1,0,,,0,10,2,0
1763898560.7569942,1763898561.7569942,0,0,3,0,0,0,2,0,,,0,10,3,0
1763898561.7569942,1763898562.7569942,0,0,5,0,0,0,4,0,,,0,10,4,0
1763898562.7569942,1763898563.7569942,0,0,5,0,0,0,4,0,,,0,10,4,0
1763898563.7569942,1763898564.7569942,0,0,6,0,0,0,5,0,,,0,10,5,0
1763898564.7569942,1763898565.7569942,0,0,7,0,0,0,5,0,,,0,10,7,0
1763898565.7569942,1763898566.7569942,0,0,7,0,0,0,5,0,,,0,10,7,0
1763898566.7569942,1763898567.7569942,0,0,7,0,0,0,5,0,,,0,10,7,0
1763898567.7569942,1763898568.7569942,0,0,7,0,0,0,5,0,,,0,10,6,0
1763898568.7569942,1763898569.7569942,0,0,6,0,0,0,4,0,,,0,10,6,0
1763898569.7569942,1763898570.7569942,0,0,6,0,0,0,4,0,,,0,10,4,0
1763898570.7569942,1763898571.7569942,0,0,6,0,0,0,4,0,,,0,10,4,0
1763898571.7569942,1763898572.7569942,0,0,6,0,0,0,4,0,,,0,10,4,0
1763898572.7569942,1763898573.7569942,0,0,7,0,0,0,4,0,,,0,10,5,0
1763898573.7569942,1763898574.7569942,0,0,7,0,0,0,4,0,,,0,10,5,0
1763898574.7569942,1763898575.7569942,0,0,7,0,0,0,4,0,,,0,10,7,0
1763898575.7569942,1763898576.7569942,0,0,7,0,0,0,4,0,,,0,10,7,0
1763898576.7569942,1763898577.7569942,0,0,7,0,0,0,4,0,,,0,10,7,0
1763898577.7569942,1763898578.7569942,0,0,7,0,0,0,4,0,,,0,10,7,0
1763898578.7569942,1763898579.7569942,0,0,7,0,0,0,4,0,,,0,10,6,0
1763898579.7569942,1763898580.7569942,0,0,7,0,0,0,4,0,,,0,10,4,0
1763898580.7569942,1763898581.7569942,0,0,5,0,0,0,2,0,,,0,10,2,0
1763898581.7569942,1763898582.7569942,0,0,5,0,0,0,2,0,,,0,10,2,0
